kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
1164301,candidate,95.688682,224.2893,0.5497,6.465,453.8,89.95,9.8,1,,5040,2.681,13.056,2.981,13.933
8127586,non-candidate,16.6094904,147.61311,0.631,3.189,272.9,88.86,12.7,1,0.598,6047,4.395,1.05,0.998,14.926
9693006,candidate,2.88878583,132.33651,0.242,2.977,40.9,88.09,17.2,1,0.9657,5696,4.247,1.331,1.139,12.858
11607193,non-candidate,5.177577252,132.9009561,1.341,2.4777,1325.4,74.76,23.6,2,0.992,7429,4.143,1.796,1.634,12.616
10646620,non-candidate,2.41349123,133.5687,0.728,11.29,57,59.02,38.1,1,0.926,6628,3.783,2.595,1.489,13.253
9467404,candidate,0.929906166,132.25126,0.102,1.743,108.7,88.59,79.7,1,0.8991,6039,4.169,1.413,1.075,12.41
10710755,non-candidate,4.816610903,133.763636,0.431,3.82353,80226,87.85,759.1,1,0.001,5796,4.472,0.904,0.885,14.843
6461675,non-candidate,342.830882,430.438,0.0886,3.826,450.7,89.95,12,1,,4994,2.92,5.205,0.821,12.739
8676061,non-candidate,428.1186,243.23,0.1377,6.56,443.8,89.95,7.3,1,,6225,4.45,1.031,1.091,15.26
5437762,candidate,4.04481159,133.60007,0.393,2.479,33,88.05,7.5,1,0.226,6358,4.359,1.141,1.082,13.778
9413156,candidate,66.47762,184.2673,0.384,4.487,553.5,89.79,9.1,2,0.1256,5515,4.592,0.775,0.868,15.972
7017437,non-candidate,43.8496474,157.7544,0.02,2.217,452.3,89.99,8.3,1,0.7857,4893,2.644,10.363,1.725,13.457
